year_published,category,count
1961,Adventure,0
1961,Age of Reason,0
1961,American Civil War,2
1961,American Indian Wars,0
1961,American Revolutionary War,0
1961,American West,0
1961,Ancient,0
1961,Animals,0
1961,Arabian,0
1961,Aviation / Flight,0
1961,Bluffing,0
1961,Book,0
1961,Card Game,1
1961,Children's Game,0
1961,City Building,0
1961,Civil War,0
1961,Civilization,0
1961,Collectible Components,0
1961,Comic Book / Strip,0
1961,Deduction,0
1961,Dice,0
1961,Economic,2
1961,Educational,0
1961,Electronic,0
1961,Environmental,0
1961,Expansion for Base-game,0
1961,Exploration,0
1961,Fantasy,0
1961,Farming,0
1961,Fighting,0
1961,Game System,0
1961,Horror,0
1961,Humor,1
1961,Industry / Manufacturing,0
1961,Korean War,0
1961,Mafia,0
1961,Math,0
1961,Mature / Adult,0
1961,Maze,0
1961,Medical,0
1961,Medieval,0
1961,Memory,1
1961,Miniatures,0
1961,Modern Warfare,0
1961,Movies / TV / Radio theme,0
1961,Murder/Mystery,0
1961,Music,0
1961,Mythology,0
1961,"NA",0
1961,Napoleonic,0
1961,Nautical,0
1961,Negotiation,1
1961,Novel-based,0
1961,Number,0
1961,Party Game,1
1961,Pike and Shot,0
1961,Pirates,0
1961,Political,1
1961,Post-Napoleonic,0
1961,Prehistoric,0
1961,Print & Play,0
1961,Puzzle,0
1961,Racing,1
1961,Real-time,0
1961,Religious,0
1961,Renaissance,0
1961,Science Fiction,0
1961,Space Exploration,0
1961,Spies/Secret Agents,0
1961,Sports,1
1961,Territory Building,0
1961,Trains,0
1961,Transportation,0
1961,Travel,1
1961,Trivia,0
1961,Video Game Theme,0
1961,Vietnam War,0
1961,Wargame,3
1961,Word Game,0
1961,World War I,0
1961,World War II,1
1961,Zombies,0
1962,Abstract Strategy,1
1962,Action / Dexterity,0
1962,Adventure,0
1962,Age of Reason,0
1962,American Civil War,0
1962,American Indian Wars,1
1962,American Revolutionary War,0
1962,American West,1
1962,Ancient,0
1962,Animals,1
1962,Arabian,0
1962,Aviation / Flight,1
1962,Bluffing,0
1962,Book,0
1962,Card Game,1
1962,Children's Game,0
1962,City Building,1
1962,Civil War,0
1962,Civilization,0
1962,Collectible Components,0
1962,Comic Book / Strip,0
1962,Deduction,0
1962,Dice,1
1962,Economic,2
1962,Educational,0
1962,Electronic,0
1962,Environmental,0
1962,Expansion for Base-game,0
1962,Exploration,0
1962,Fantasy,0
1962,Farming,1
1962,Fighting,1
1962,Game System,0
1962,Horror,0
1962,Humor,1
1962,Industry / Manufacturing,0
1962,Korean War,0
1962,Mafia,0
1962,Math,0
1962,Mature / Adult,1
1962,Maze,0
1962,Medical,0
1962,Medieval,0
1962,Memory,1
1962,Miniatures,2
1962,Modern Warfare,0
1962,Movies / TV / Radio theme,1
1962,Murder/Mystery,0
1962,Music,0
1962,Mythology,0
1962,"NA",1
1962,Napoleonic,1
1962,Nautical,2
1962,Negotiation,0
1962,Novel-based,0
1962,Number,0
1962,Party Game,1
1962,Pike and Shot,0
1962,Pirates,0
1962,Political,0
1962,Post-Napoleonic,0
1962,Prehistoric,0
1962,Print & Play,0
1962,Puzzle,0
1962,Racing,1
1962,Real-time,0
1962,Religious,0
1962,Renaissance,0
1962,Science Fiction,0
1962,Space Exploration,0
1962,Spies/Secret Agents,0
1962,Sports,4
1962,Territory Building,0
1962,Trains,0
1962,Transportation,0
1962,Travel,1
1962,Trivia,1
1962,Video Game Theme,0
1962,Vietnam War,0
1962,Wargame,5
1962,Word Game,1
1962,World War I,1
1962,World War II,1
1962,Zombies,0
1963,Abstract Strategy,1
1963,Action / Dexterity,1
1963,Adventure,0
1963,Age of Reason,0
1963,American Civil War,0
1963,American Indian Wars,0
1963,American Revolutionary War,0
1963,American West,1
1963,Ancient,0
1963,Animals,1
1963,Arabian,0
1963,Aviation / Flight,0
1963,Bluffing,0
1963,Book,0
1963,Card Game,2
1963,Children's Game,2
1963,City Building,0
1963,Civil War,0
1963,Civilization,0
1963,Collectible Components,0
1963,Comic Book / Strip,0
1963,Deduction,0
1963,Dice,1
1963,Economic,1
1963,Educational,1
1963,Electronic,0
1963,Environmental,0
1963,Expansion for Base-game,0
1963,Exploration,0
1963,Fantasy,0
1963,Farming,0
1963,Fighting,1
1963,Game System,0
1963,Horror,0
1963,Humor,0
1963,Industry / Manufacturing,0
1963,Korean War,0
1963,Mafia,0
1963,Math,1
1963,Mature / Adult,0
1963,Maze,0
1963,Medical,0
1963,Medieval,0
1963,Memory,0
1963,Miniatures,0
1963,Modern Warfare,0
1963,Movies / TV / Radio theme,0
1963,Murder/Mystery,0
1963,Music,0
1963,Mythology,0
1963,"NA",0
1963,Napoleonic,0
1963,Nautical,0
1963,Negotiation,0
1963,Novel-based,0
1963,Number,0
1963,Party Game,0
1963,Pike and Shot,0
1963,Pirates,0
1963,Political,0
1963,Post-Napoleonic,0
